name,position,capabilities,salience,resolve
senate_r,0.2,5,0.01,0.9
senate_d,0.92,90,0.65,0.7
states_moderate,0.6,35,0.2,0.7
states_against,0.2,18,0.2,0.8
states_for,0.92,25,0.35,1
president,0.6,62,0.2,0.55
supreme_court,0.5,10,0.1,0.8
public,0.7,70,0.85,0.45
corporations,0.6,60,0.15,0.3
house_r,0.2,15,0.6,0.85
house_d,0.8,90,0.65,1
