name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Argentina,0.8077048931271656,0.00975003009268547,1.0,1.0,0.0,0.0
Australia,0.9647892725271295,0.008917465794647514,1.0,1.0,0.0,0.0
Belgium,0.9761124526593901,0.011856518075673072,1.0,1.0,0.0,0.0
Brazil,0.9893578286230467,0.009960678890984231,1.0,1.0,0.0,0.0
Bulgaria,0.9938103596881913,0.003460658829193917,1.0,1.0,0.0,0.0
Canada,0.9948302455203223,0.01614974120290495,1.0,1.0,0.0,0.0
China,0.5991066916739556,0.11977891907073787,1.0,1.0,0.0,0.0
Czechoslovakia,0.6010205582769108,0.014053284115074428,1.0,1.0,0.0,0.0
Denmark,0.5999094844854871,0.002407414837700116,1.0,1.0,0.0,0.0
Egypt,0.5982164294783043,0.004092605224090197,1.0,1.0,0.0,0.0
England,0.5546708785501244,0.07887292862015007,1.0,1.0,0.0,0.0
France,0.5371342662973652,0.03608112988003049,1.0,1.0,0.0,0.0
Greece,0.5347714746788941,0.004192914175661036,1.0,1.0,0.0,0.0
Hungary,0.532773312226225,0.004513902820687718,1.0,1.0,0.0,0.0
India,0.5177214866633899,0.02475624924768286,1.0,1.0,0.0,0.0
Iran,0.5158740961437731,0.004925169522128154,1.0,1.0,0.0,0.0
Iraq,0.5151245476432254,0.0015748505396621594,1.0,1.0,0.0,0.0
Israel,0.4681844352808308,0.0012538618946354772,1.0,1.0,0.0,0.0
Italy,0.4983002729781723,0.024334951651085342,1.0,1.0,0.0,0.0
Mexico,0.4949419200153256,0.007763912851582875,1.0,1.0,0.0,0.0
Norway,0.4473855916344488,0.0023071058861292783,1.0,1.0,0.0,0.0
Netherlands,0.4883184237305612,0.008385828351322072,1.0,1.0,0.0,0.0
Pakistan,0.43394863208295137,0.01489587930826947,1.0,1.0,0.0,0.0
Philippines,0.4326523406554991,0.004092605224090197,1.0,1.0,0.0,0.0
Poland,0.3930998569074096,0.03283111984913534,1.0,1.0,0.0,0.0
Rumania,0.39086187229422675,0.006078722465192793,1.0,1.0,0.0,0.0
USSR,0.34871701430161967,0.18312402198772218,0.24,1.0,0.0,0.0
South Africa,0.3507886048455999,0.006821008706816996,1.0,1.0,0.0,0.0
Saudi Arabia,0.3474722671323291,0.0012538618946354772,1.0,1.0,0.0,0.0
Spain,0.3353168261645984,0.016881996549372065,1.0,1.0,0.0,0.0
Sweden,0.33052211167461615,0.006500020061790314,1.0,1.0,0.0,0.0
Syria,0.328408419239718,0.001043213096336717,1.0,1.0,0.0,0.0
Thailand,0.3159728065854668,0.0041527905950327,1.0,1.0,0.0,0.0
Turkey,0.30772977430733267,0.013511615776591901,1.0,1.0,0.0,0.0
USA,0.6560800411916199,0.3004854953256028,1.0,1.0,0.0,0.0
Yugoslavia,0.7667265126054427,0.008937527584961682,1.0,1.0,0.0,0.0
