Round,Argentina,Australia,Belgium,Brazil,Bulgaria,Canada,China,Czechoslovakia,Denmark,Egypt,England,France,Greece,Hungary,India,Iran,Iraq,Israel,Italy,Mexico,Norway,Netherlands,Pakistan,Philippines,Poland,Rumania,USSR,South Africa,Saudi Arabia,Spain,Sweden,Syria,Thailand,Turkey,USA,Yugoslavia
0,0.5479999999999999,0.5065,0.514,0.948,0.0,0.7809999999999999,0.5065,0.045,0.5065,0.516,0.518,0.514,0.5065,0.045,0.5065,0.512,0.5185,0.5065,0.5065,0.948,0.5065,0.514,0.5065,0.5065,0.045,0.045,0.0,0.5065,0.514,0.5065,0.5065,0.514,0.5065,0.512,1.0,0.0
1,0.9273192847324734,1.0,1.0,1.0,1.0,1.0,0.5483492104090615,0.5957222809070666,0.5945244429284391,0.5928443859468079,0.5485971911995671,0.5309692378588935,0.5284970260238364,0.5264946118936376,0.5112615977245707,0.5093626193481983,0.4620323170324978,0.4613883912518385,0.49146289385921194,0.4880638816504883,0.4402275063957832,0.4371877221389713,0.42612350340060084,0.4116807487859824,0.3847151640421736,0.3823914357661477,0.3398251311312291,0.3417294043390166,0.33814239748905395,0.3260815319746659,0.32115365265126516,0.31917927324771356,0.3066775342691731,0.29846064388410054,0.6459930883856272,0.7598093424943949
2,1.0,1.0,0.9872964345272858,0.978716010083172,0.9789469069420709,0.9154730909831507,0.5840227326460009,0.5997765624547033,0.5986391545244288,0.5969513111647954,0.5532530645290152,0.5356959927668905,0.5333025116844401,0.531303951131976,0.5162160339608524,0.5143524641369648,0.49993811870374677,0.4665730147118037,0.49670317544370446,0.49333328014502414,0.4456918639265904,0.48668951291731016,0.43221145414234835,0.4159934106379587,0.3911701142436702,0.38890664263728786,0.3466814106918175,0.34870600812652014,0.34531246793530773,0.33320108483642435,0.32837328496905577,0.32628764356985274,0.3138658427593637,0.3056387529037383,0.6538279154675466,0.7651819283437734
3,1.0,0.9866489400091241,0.922526297552714,0.646158418475546,0.6600700338967966,0.6534962097752774,0.5970739605356938,0.5904579507116845,0.5893287624451937,0.5876073670009412,0.5424727159038831,0.5247568763937331,0.5223105401920675,0.5202915132600172,0.5047424237353987,0.5029005365109844,0.4570787228432401,0.45665399693661235,0.48463881059353875,0.43744652447727794,0.43320959910415857,0.4301654306924395,0.4051121625715259,0.4044549857981751,0.3768864703860455,0.3746520456188605,0.3313092164633482,0.3332848804003043,0.3298823519432933,0.3172793854282984,0.31229735725567725,0.3079226897577894,0.2973573540262255,0.2887180077049819,0.6349764751988806,0.7522569033065258
4,0.811260521189404,0.9288962734390854,0.6406697817989597,0.6549525594632011,0.6536292724988896,0.6467643310204999,0.5893656318545366,0.5824446777203175,0.5817439114616405,0.5740011288492579,0.536338075644804,0.5152571354968749,0.5138423774940494,0.5077896723199516,0.49597621457051394,0.4931966218432824,0.4478475086769019,0.4435434612306521,0.4311113466497958,0.410639276377623,0.4137257143944465,0.4024471192876223,0.3938260749823594,0.3860967184326076,0.36537380944472675,0.35818730599084436,0.3192597810217996,0.31921758668233063,0.320456515789619,0.3013215425068129,0.2983873979144861,0.28491643865975186,0.2967991571113534,0.24526991508078316,0.247927829606909,0.9315276587730827
5,0.39778790961280563,0.492429053818297,0.5268009644694392,0.5494429869277295,0.8692005344805614,0.8826036758087547,0.5580550468116522,0.5707633502147427,0.5694701350699616,0.5677389239106524,0.5196970368025662,0.5016106139873713,0.49888820658147437,0.496837598228202,0.48044216839915843,0.43462945941760467,0.4321047031112335,0.4316771706003981,0.39952256440743583,0.3959220103370058,0.3950999871672511,0.3880312483457081,0.3756210077000687,0.37481884735678295,0.34575120713070856,0.34334985970898785,0.2979771087136229,0.29952761256434346,0.29554002238275245,0.2826464511304523,0.2772355611112434,0.25708348763547917,0.25899612797049554,0.2532639768514649,0.5959136306687954,0.7254935801581478
