name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Baibing,1.0,0.056666666666666664,0.85,1.0,1.0,1.0
Boyibo,1.0,0.05,0.7,1.0,1.0,1.0
China_All_Democracy_Movement,1.0,0.013333333333333334,0.9,1.0,1.0,1.0
Chenyun,1.0,0.06666666666666667,0.85,1.0,1.0,1.0
China_Spring,1.0,0.013333333333333334,0.9,1.0,1.0,1.0
Europe,0.5951433615947542,0.03666666666666667,0.3,1.0,1.0,1.0
Guandung,0.6257137822278481,0.02,0.7,1.0,1.0,1.0
Hong_Kong,0.6241131319419084,0.016666666666666666,0.85,1.0,1.0,1.0
Japan,0.6024138976389103,0.03333333333333333,0.5,1.0,1.0,1.0
Li_Peng,0.5968441141644142,0.06,0.8,1.0,1.0,1.0
Peng_Zhen,0.5660797849098127,0.06,0.8,1.0,1.0,1.0
Qiao_Shi,0.5344776275545017,0.056666666666666664,0.8,1.0,1.0,1.0
Ruihuan,0.5068784524134786,0.04,0.75,1.0,1.0,1.0
Shanghai,0.48500294538243277,0.02,0.5,1.0,1.0,1.0
Shangkun,0.47555717639087525,0.06666666666666667,0.85,1.0,1.0,1.0
Students_Intellectuals,0.41422068692926045,0.02666666666666667,0.9,1.0,1.0,1.0
Tian_Jiyun,0.3716615008821126,0.03333333333333333,0.4,1.0,1.0,1.0
United_States,0.35144678846181915,0.04666666666666667,0.4,1.0,1.0,1.0
Wang_Zhen,0.3115163191789618,0.056666666666666664,0.8,1.0,1.0,1.0
Wan_Li,0.29203199688267145,0.04,0.6,1.0,1.0,1.0
Xiannian,0.254229033998022,0.04,0.6,1.0,1.0,1.0
Zeming,0.21916665923062106,0.05333333333333334,0.3,1.0,1.0,1.0
Zhu_Rongji,0.298897485499684,0.04,0.8,1.0,1.0,1.0
Zou_Jiahua,0.9846404953244225,0.05333333333333334,0.75,1.0,1.0,1.0
