Actor,Capability,Salience,Position
senate_r,55,0.01,0.2
senate_d,60,0.65,0.92
states_moderate,35,0.2,0.6
states_against,18,0.2,0.2
states_for,25,0.35,0.92
president,62,0.2,0.6
supreme_count,10,0.1,0.5
public,70,0.85,0.7
corporations,60,0.15,0.6
house_r,18,0.6,0.2
house_d,23,0.65,0.8
