name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Bosnia,0.2182216337068114,0.000693027374581296,0.05,0.8,1.0,1.0
Serbia,0.3123330690161242,0.0018480729988834558,0.07,0.65,1.0,1.0
Moldova,0.2241290347199541,0.00046201824972086396,0.15,0.5,1.0,1.0
Finland,0.2689065295641213,0.010741924306010089,0.1,0.85,1.0,1.0
"UKR, Kiev",0.34235033163277456,0.015323605282408658,0.92,1.0,1.0,1.0
"UKR, Western Ukraine less Kiev",0.2689676650065689,0.007661802641204329,0.92,1.0,1.0,1.0
"UKR, Eastern Ukraine",0.2234975016604802,0.005120702267739576,0.7,0.85,1.0,1.0
"NATO, sans USA",0.19487790327076043,0.45531898509991153,0.21,0.95,1.0,1.0
"NATO, the United States",0.27738021013732256,0.33157509721634004,0.25,0.7,1.0,1.0
Sweden,0.30165190567046934,0.013899049012435993,0.1,0.7,1.0,1.0
Russia,0.22452297431625556,0.15735571555076427,0.8,1.0,1.0,1.0
