name,position,capabilities,salience,resolve,true_hawk_type,true_retaliatory_type
Baibing,0.30942240196165494,0.056666666666666664,0.85,1.0,1.0,1.0
Boyibo,0.30948359942928716,0.05,0.7,1.0,1.0,1.0
China_All_Democracy_Movement,0.3095496547480761,0.013333333333333334,0.9,1.0,1.0,1.0
Chenyun,0.30961089245562584,0.06666666666666667,0.85,1.0,1.0,1.0
China_Spring,0.30959665693498983,0.013333333333333334,0.9,1.0,1.0,1.0
Europe,0.30946528757664776,0.03666666666666667,0.3,1.0,1.0,1.0
Guandung,0.30928568541763857,0.02,0.7,1.0,1.0,1.0
Hong_Kong,0.3091031946875275,0.016666666666666666,0.85,1.0,1.0,1.0
Japan,0.3089294678180204,0.03333333333333333,0.5,1.0,1.0,1.0
Li_Peng,0.30876634764485245,0.06,0.8,1.0,1.0,1.0
Peng_Zhen,0.3086134954110361,0.06,0.8,1.0,1.0,1.0
Qiao_Shi,0.30846842481267456,0.056666666666666664,0.8,1.0,1.0,1.0
Ruihuan,0.3083273433105238,0.04,0.75,1.0,1.0,1.0
Shanghai,0.3081864855722291,0.02,0.5,1.0,1.0,1.0
Shangkun,0.3080421199335929,0.06666666666666667,0.85,1.0,1.0,1.0
Students_Intellectuals,0.30789359945787453,0.02666666666666667,0.9,1.0,1.0,1.0
Tian_Jiyun,0.30775345846833146,0.03333333333333333,0.4,1.0,1.0,1.0
United_States,0.307717776608785,0.04666666666666667,0.4,1.0,1.0,1.0
Wang_Zhen,0.3079288039290116,0.056666666666666664,0.8,1.0,1.0,1.0
Wan_Li,0.3082315971331179,0.04,0.6,1.0,1.0,1.0
Xiannian,0.3085139523078859,0.04,0.6,1.0,1.0,1.0
Zeming,0.308774248646721,0.05333333333333334,0.3,1.0,1.0,1.0
Zhu_Rongji,0.30904286276990384,0.04,0.8,1.0,1.0,1.0
Zou_Jiahua,0.30925810314998536,0.05333333333333334,0.75,1.0,1.0,1.0
