Round,Baibing,Boyibo,China_All_Democracy_Movement,Chenyun,China_Spring,Europe,Guandung,Hong_Kong,Japan,Li_Peng,Peng_Zhen,Qiao_Shi,Ruihuan,Shanghai,Shangkun,Students_Intellectuals,Tian_Jiyun,United_States,Wang_Zhen,Wan_Li,Xiannian,Zeming,Zhu_Rongji,Zou_Jiahua
0,0.15,0.2,1.0,0.1,1.0,0.9,0.5,1.0,0.6,0.15,0.15,0.15,0.3,0.35,0.2,1.0,0.2,1.0,0.15,0.25,0.2,0.25,0.35,0.15
1,0.30490334416685616,0.30495952527295767,0.30497835506731036,0.3048941624623386,0.30476528114414486,0.30464153570150043,0.3045362840170298,0.3044506485949167,0.30438131571342003,0.30432265756215565,0.3042681557849382,0.30421198212743283,0.3041501905590244,0.3040805320134127,0.30400143718805245,0.303911947852557,0.30381230192747355,0.30371534544998563,0.3037163857079783,0.3038946267670249,0.30412515247686955,0.30434027954859244,0.3045660661991121,0.3047555825167727
2,0.3043418153186437,0.30434212895606827,0.3043416285145489,0.30434042338545814,0.30433906073730044,0.3043377782241231,0.304336594596778,0.3043354624615809,0.30433433588034353,0.30433317930221715,0.3043319805190163,0.30433082475442585,0.3043302702176565,0.30433143106681987,0.3043331899502013,0.30433470012826563,0.30433587962357933,0.3043367345346448,0.30433726838369385,0.3043375861191621,0.30433794386780383,0.3043386037826763,0.3043397214071217,0.3043408342670977
3,0.3043340101761698,0.3043344189028019,0.30433773382780377,0.3043863819860934,0.3046463904418819,0.3043018950132415,0.3300778949713699,0.25430629143360045,0.3575718639390505,0.29807982215772116,0.3046504402185437,0.3057892099490803,0.30539892369770694,0.30482984050561607,0.3044529890473084,0.3042696725990633,0.3042147143038014,0.30422581512851005,0.3042564406548351,0.3042847666417458,0.3043055493942919,0.30431948529843056,0.30432844874323506,0.3043322293134076
