Round,Baibing,Boyibo,China_All_Democracy_Movement,Chenyun,China_Spring,Europe,Guandung,Hong_Kong,Japan,Li_Peng,Peng_Zhen,Qiao_Shi,Ruihuan,Shanghai,Shangkun,Students_Intellectuals,Tian_Jiyun,United_States,Wang_Zhen,Wan_Li,Xiannian,Zeming,Zhu_Rongji,Zou_Jiahua
0,0.9750064372962063,0.9883157898141919,0.5212654301019615,0.9566970847782207,0.5212654301019615,0.6496467250659902,0.9631719049221055,0.5212654301019615,0.9147906099580767,0.9750064372962063,0.9750064372962063,0.9750064372962063,0.9999344948501631,0.9982438473681486,0.9883157898141919,0.5212654301019615,0.9883157898141919,0.5212654301019615,0.9750064372962063,0.9966251423321775,0.9883157898141919,0.9966251423321775,0.9982438473681486,0.9750064372962063
1,0.9999997057503686,0.9999996416434155,0.9999996187447354,0.999999715627256,0.9999998364729402,0.9999999212415558,0.9999999692391671,0.9999999919445349,0.9999999995830497,0.9999999985377949,0.9999999913991872,0.9999999778245536,0.9999999556030686,0.9999999213958374,0.9999998707891091,0.9999997984452444,0.999999699044157,0.9999995832640324,0.9999995846060292,0.9999997825926737,0.9999999444248251,0.9999999995749475,0.999999957905334,0.9999998442228316
2,0.9999999999722358,0.9999999999688322,0.9999999999741694,0.999999999984967,0.9999999999936768,0.999999999998482,0.9999999999999977,0.9999999999988256,0.9999999999951148,0.9999999999886644,0.9999999999791551,0.9999999999672657,0.9999999999606127,0.999999999973836,0.999999999988736,0.9999999999965923,0.9999999999995558,0.9999999999999645,0.9999999999994784,0.9999999999989184,0.9999999999980463,0.9999999999957662,0.9999999999899177,0.9999999999816119
3,0.9999997331866766,0.9999997336087566,0.9999997370196393,0.9999997845481143,0.999999958318901,0.9999996989777759,0.9993635810624623,0.9974452779324509,0.9972204630497831,0.9999541572453535,0.999999959956101,0.9999991189173797,0.9999996992862173,0.9999999995711195,0.9999998419453399,0.9999996625815195,0.999999595713049,0.9999996097064204,0.9999996470341621,0.9999996798892641,0.9999997029744097,0.9999997179703508,0.9999997274103446,0.9999997313437323
